OTU_ID	ComD55.B	ComD61.B	ComD49.B	ComD10.B	ComD14.B	ComD47.C	ComC11.B	ComC46.A	ComC43.A	ComC20.A	ComC45.A	ComC49.B	ComD16.C	ComC45.B	ComC24.A	ComC31.A	ComC43.B	ComD29.B	ComC47.A	ComD43.C	ComC13.A	ComD76.B	ComD76.C	ComC13.B	ComD60.C	ComD23.C	ComD18.B	ComD8.A	ComD65.B	ComD18.C	ComC55.B	ComD28.B	ComD78.C	ComD66.B	ComD61.C	ComD21.C	ComD65.C	ComC53.B	ComC9.A	ComC10.A	ComC6.B	ComD49.C	ComC65.A	ComD64.B	ComC50.A	ComD64.C	ComD3.B	ComD51.C	ComD71.C	ComD5.A	ComD37.C	ComC54.A	ComC33.A	ComD62.B	ComD24.C	ComD8.B	ComC24.B	ComD41.C	ComC32.A	ComC41.B	ComC15.B	ComD4.A	ComD29.C	ComD48.C	ComD34.C	ComD5.B	ComD70.B	ComC15.A	ComD25.C	ComC9.B	ComD75.C	ComD20.C	ComC48.B	ComC65.B	ComD36.B	ComC21.A	ComD70.C	ComD62.C	ComC39.B	ComC33.B	ComD3.A	ComC44.B	ComD53.B	ComD26.B	ComD20.B	ComD11.A	ComD35.C	ComC69.A	ComD31.B	ComD36.C	ComD24.B	ComC14.A	ComC62.A	ComD25.B	ComD50.C	ComC60.B	ComC50.B	ComC5.A	ComD31.C	ComD26.C	ComC27.A	ComC22.A	ComC69.B	ComD2.A	ComC22.B	ComC41.A	ComC26.A	ComC54.B	ComC30.B	ComD50.B	ComD54.C	ComD71.B	ComD4.B	ComD48.B	ComD34.B	ComD33.C	ComC55.A	ComC11.A	ComD39.C	ComD43.B	ComC40.A	ComD38.B	ComD46.B	ComC40.B	ComC18.A	ComC21.B	ComD16.B	ComC62.B	ComD28.C	ComC7.B	ComD73.B	ComD12.A	ComC58.A	ComC67.A	ComD33.B	ComD78.B	ComD57.C	ComD23.B	ComD15.B	ComC38.B	ComC49.A	ComD11.B	ComD21.B	ComD51.B	ComD38.C	ComD79.C	ComC28.A	ComD80.C	ComD79.B	ComC8.A	ComD80.B	ComD7.B	ComD13.A	ComC59.B	ComD55.C	ComC17.A	ComC28.B	ComC48.A	ComD13.B	ComD42.C	ComC17.B	ComD14.A	ComC59.A	ComD77.C	ComC68.A	ComC8.B	ComD63.B	ComC26.B	ComC67.B	ComD42.B	ComD73.C	ComC10.B	ComD17.C	ComC20.B	ComD37.B	ComD59.C	ComD12.B	ComD69.C	ComC47.B	ComD44.B	ComC44.A	ComD27.B	ComC56.A	ComC31.B	ComC2.A	ComD67.C	ComD67.B	ComC52.A	ComC57.B	ComD19.C	ComD54.B	ComD17.B	ComC29.B	ComC52.B	ComD40.C	ComC30.A	ComD53.C	ComD72.C	ComC27.B	ComD30.C	ComD47.B	ComD75.B	ComD69.B	ComD2.B	ComC32.B	ComC57.A	ComC51.B	ComC66.B	ComD63.C	ComD52.B	ComC39.A	ComC6.A	ComD52.C	ComC34.A	ComD27.C	ComD15.A	ComC46.B	ComC25.B	ComD44.C	ComC56.B	ComD10.A	ComD1.A	ComD19.B	ComD72.B	ComC36.A	ComC51.A	ComD39.B	ComC2.B	ComD60.B	ComD30.B	ComC63.A	ComC14.B	ComC35.B	ComC34.B	ComD66.C	ComC58.B	ComC53.A	ComD1.B	ComD22.C	ComC19.B	ComD56.B	ComC7.A	ComC12.A	ComD77.B	ComD7.A	ComC37.A	ComD9.B	ComC16.A	ComC29.A	ComC37.B	ComC16.B	ComC19.A	ComD74.C	ComC61.A	ComC42.B	ComC42.A	ComC35.A	ComD46.C	ComD35.B	ComC38.A	ComD58.C	ComC61.B	NegCont.C	ComD57.B	ComD45.C	NegCont.B	ComC64.A	ComC68.B	ComC60.A	ComC64.B	ComD68.C	ComD74.B	ComD68.B	ComD9.A	ComC66.A	ComD56.C	ComC18.B	ComC12.B	ComD58.B	ComC36.B
k__Bacteria;p__Planctomycetes	848	702	1784	21	1485	129	31	66	990	6532	3750	1224	49	3399	128	2625	1001	606	671	5249	1270	330	451	1271	6	334	1416	311	4494	1240	14	358	13	8	615	107	3773	23	163	9543	112	1811	1960	1633	598	1482	20	133	274	108	495	61	2755	281	0	371	131	159	87	2353	761	426	607	21	51	29	44	599	34	181	300	28	142	1820	329	64	38	298	294	3229	19	374	36	647	33	299	142	30	22	306	5	234	503	38	780	84	487	86	18	860	18	61	41	215	81	1934	34	51	277	1010	935	410	333	10	84	840	6	30	150	4946	1954	6	11	1887	47	71	55	475	243	30	201	31	118	773	902	14	62	199	41	5	1214	320	124	174	19	750	418	75	633	1375	102	154	165	3129	1580	1090	395	74	125	1315	1163	1592	3221	54	16	1369	176	29	783	1345	260	10209	198	7044	359	1420	28	755	681	151	477	30	49	2447	89	30	40	724	100	63	661	263	48	648	136	360	54	29	16	24	200	257	558	233	78	60	98	23	172	134	329	105	89	156	15	70	86	475	175	44	15	85	88	46	759	118	200	87	25	17	36	267	143	117	13	86	19	92	155	35	55	23	225	31	121	245	91	7	40	268	7	17	44	15	8	9	225	5	149	8	41	27	189	68	23	5	68	11	88	55	364	74	276	85	35	120	52	184	101	514
k__Bacteria;p__Proteobacteria	47991	44506	43478	51794	19202	36511	49298	50958	36080	31467	39330	33857	45392	39907	41891	14660	35744	40667	47260	31985	21497	45762	45566	21983	52183	43125	37366	42828	35771	38402	51762	44956	49117	51828	45068	47224	37055	52085	51060	23125	46229	42955	19506	40653	47544	40664	50632	48825	50505	41318	45509	49734	28201	49499	51103	42700	42067	46234	47737	26674	48896	50250	39808	51945	51350	42233	51901	49274	51708	51114	44715	36643	42163	19614	44806	48994	52164	49417	47542	26646	50564	37094	52505	31969	33164	38064	51097	52105	52224	44188	50799	50411	49672	51592	48110	44040	48118	44020	52165	31553	50422	40816	51829	46183	38706	28054	51793	49915	46961	46896	22684	48953	50090	51976	50709	44122	52026	49274	46893	32314	41633	52639	48237	41449	47511	49110	45548	49782	44310	45742	48407	50270	51393	45826	43801	48598	49941	42831	48761	50445	34318	38195	46509	49486	52323	48336	30719	51660	48701	37028	51293	48763	50050	16854	46869	29714	30388	44040	50437	41456	28859	18896	16975	51140	52578	37338	47403	51742	45355	42205	48620	23444	44692	31158	46241	42387	50244	49539	47197	46157	37051	50093	47298	14038	48558	52772	52760	49516	45904	50564	21928	44445	52277	49563	51751	46660	52625	48199	50725	51018	35940	44688	49920	46020	48101	47486	50414	50170	47864	49456	46987	46541	49250	50337	51136	48628	51023	42824	45891	47634	51681	44868	50752	45720	50735	50434	47204	49170	51833	51109	50781	50491	49842	50550	51997	51538	52092	44905	39149	52137	50840	45197	48609	51221	48724	51170	51357	45045	52124	51233	45682	52284	33136	52715	46694	47710	49649	50200	51197	50330	51233	52723	52364	48746	52312	52806	51820	52679	43947	51982	50157	32809	49941	51417	50305	50451	47334	48917	51455	51288
k__Bacteria;p__SBR1093	16	31	59	0	3	4	0	1	1	792	170	0	1	150	0	165	0	1	4	135	0	26	25	0	0	2	75	0	155	68	0	0	1	1	31	0	141	0	20	1212	0	39	26	267	44	311	0	4	14	2	20	0	124	2	1	0	0	0	0	25	0	0	2	0	0	3	0	0	1	39	0	0	10	17	1	0	0	4	0	129	0	200	0	0	0	6	1	0	0	1	0	1	101	0	33	1	64	2	0	0	1	1	1	5	3	20	0	2	0	45	3	30	1	0	0	116	0	1	0	115	2	0	0	6	0	1	1	121	0	0	75	1	1	0	117	0	2	1	6	1	0	5	13	1	0	0	0	0	1	47	0	0	0	700	0	74	0	8	1	25	59	0	694	6	0	35	0	0	0	26	76	1194	1	660	13	2859	1	6	1	1	236	0	2	149	0	1	4	0	9	0	1	2	1	0	2	0	0	0	0	0	3	0	12	3	2	9	0	0	0	1	0	0	1	2	1	6	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	5	1	2	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
k__Bacteria;p__SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes	0	1	0	0	0	0	0	0	0	4	8	0	0	3	0	0	0	1	7	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	2	0	0	3	0	4	0	1	0	0	0	0	6	0	0	2	6	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	5	0	1	2	0	2	0	0	1	0	0	0	0	1	2	0	0	0	1	5	4	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	33	0	2	0	18	0	0	1	0	0	0	0	3	8	0	0	0	0	0	0	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	8	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	1	0	0	0	0	0	2	15	1	0	0
k__Bacteria;p__Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__TM6	296	73	261	21	336	70	9	2	225	357	202	217	3	166	58	71	235	39	24	329	74	124	129	76	0	60	75	90	246	105	4	100	0	3	120	3	240	6	0	82	7	289	891	248	20	278	4	70	32	21	70	19	195	50	25	104	51	19	42	361	101	29	47	1	15	9	12	105	13	13	74	49	15	971	99	22	11	33	51	187	7	37	2	585	30	40	24	14	7	165	32	14	55	7	33	11	14	39	10	634	17	29	13	54	34	281	20	18	14	23	111	52	47	6	17	65	4	2	54	324	90	1	0	116	19	11	2	48	66	2	186	2	205	111	72	1	24	42	38	3	214	74	4	59	4	76	186	28	31	30	35	15	30	468	174	114	164	7	29	94	166	294	495	0	3	36	43	5	120	88	243	84	33	349	38	1025	5	23	22	30	25	11	8	59	14	2	1	16	13	7	116	38	10	23	14	5	0	28	13	5	79	88	25	58	36	16	21	0	54	34	51	4	30	6	13	7	1	45	38	8	20	35	4	34	37	12	48	18	0	25	75	6	59	0	3	200	9	23	53	4	12	5	25	7	11	70	5	0	10	60	0	8	13	2	8	11	56	0	33	6	44	2	1	43	0	1	4	3	18	5	74	21	70	2	2	18	11	5	41	41
k__Bacteria;p__TM7	15	0	1	2	12	5	0	0	19	0	5	5	7	6	1	10	21	3	0	11	16	1	5	14	0	34	9	5	4	8	0	3	0	1	2	7	4	0	0	7	0	1	0	3	0	7	0	3	0	0	8	0	1	0	0	1	0	24	0	0	2	1	1	0	0	0	0	1	0	0	5	17	0	5	4	1	2	0	0	6	0	0	1	0	10	4	0	0	0	12	0	0	0	0	4	1	1	0	9	0	0	1	0	12	0	3	0	0	0	12	6	2	1	0	0	1	0	1	1	8	3	0	2	3	10	0	6	0	4	0	1	1	3	9	2	0	0	21	41	0	0	6	3	2	0	0	44	2	0	0	2	0	11	13	34	2	79	1	29	6	0	2	2	35	0	2	0	0	6	14	8	8	5	2	4	19	6	11	0	1	0	1	0	0	1	1	0	0	3	10	3	1	0	0	7	0	0	1	0	2	7	7	14	13	0	11	0	0	3	1	0	1	2	0	0	33	1	0	6	2	2	0	10	3	2	0	2	1	0	2	10	0	0	1	0	0	1	1	0	0	0	1	0	31	6	7	6	0	0	1	0	0	7	0	0	1	0	0	1	0	3	0	0	6	31	5	0	0	1	0	0	6	3	0	0	5	6	0	8	4
k__Bacteria;p__Tenericutes	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Thermotogae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia	9	18	46	4	7	30	1	0	3	125	14	40	3	11	3	20	2	12	0	488	30	8	4	26	0	48	191	41	118	186	0	15	1	1	12	6	70	0	2	590	6	61	2	33	38	27	14	16	6	0	8	4	221	2	0	65	9	15	0	57	1	4	13	0	0	0	1	1	2	4	2	1	5	14	7	2	0	0	0	192	7	14	0	1	4	4	0	0	3	39	0	0	4	3	16	2	35	0	1	0	0	0	1	9	2	43	2	0	4	37	9	13	4	0	2	9	0	8	11	534	89	1	0	91	2	1	5	5	21	1	6	0	13	37	8	0	2	28	35	0	39	8	9	18	0	2	0	0	4	18	1	27	23	239	30	0	4	0	8	13	0	4	274	2	1	22	14	0	50	32	0	633	27	117	8	15	1	5	0	8	38	3	2	39	1	0	2	9	1	16	5	24	0	9	0	2	0	0	1	7	36	2	4	11	0	1	1	0	7	5	1	2	6	0	1	46	0	55	7	2	1	5	25	1	0	4	40	5	0	9	0	6	38	1	1	2	0	6	0	0	2	0	2	11	31	0	18	0	0	1	0	0	3	0	0	0	43	0	0	0	10	0	2	3	0	7	0	1	0	1	5	4	0	16	0	13	2	0	7	1
k__Bacteria;p__WPS-2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	2	0	1	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__WS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi]	0	0	0	0	1	0	1	4	0	0	1	0	0	0	1	19	2	6	4	2	4	3	3	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	5	0	2	0	1	0	2	0	0	0	1	0	2	0	1	0	4	18	1	0	0	0	0	0	0	0	1	2	1	8	3	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	1	0	0	2	21	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	3	10	1	0	3	1	0	23	0	1	0	2	0	0	0	2	2	14	3	0	4	6	0	7	7	0	2	2	2	2	1	1	13	1	7	4	2	1	0	4	0	0	3	0	0	0	0	15	0	19	0	0	0	0	0	0	1	0	1	4	1	0	2	0	0	0	0	0	0	4	12	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	1	4	0	0	0	0	0	2	6	6	0	0	2	0	0	0	0	0	0	5	1	0	49	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	12	4	1
