YEAR,state,TopicDesc,MeasureDesc,Response,Percent_Yes,Sample_Size,Gender,Education
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.8,816,Female,High School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,15.7,771,Female,Middle School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,32.5,704,Male,High School
2000,Alabama,Cigarette Use (Youth),Smoking Status,Current,22.1,738,Male,Middle School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,23.1,669,Female,High School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,12,820,Female,Middle School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.3,607,Male,High School
2002,Alabama,Cigarette Use (Youth),Smoking Status,Current,18.3,674,Male,Middle School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,20.4,764,Female,High School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,11.9,701,Female,Middle School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.5,715,Male,High School
2004,Alabama,Cigarette Use (Youth),Smoking Status,Current,14,658,Male,Middle School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,23.6,758,Female,High School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,10.5,776,Female,Middle School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,29.6,783,Male,High School
2006,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.9,929,Male,Middle School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,16.8,659,Female,High School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,6.8,516,Female,Middle School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,27.1,658,Male,High School
2008,Alabama,Cigarette Use (Youth),Smoking Status,Current,10.4,492,Male,Middle School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.8,678,Female,High School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,6.6,583,Female,Middle School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,22.2,621,Male,High School
2010,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.1,542,Male,Middle School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.4,698,Female,High School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.4,749,Female,Middle School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,24.3,737,Male,High School
2012,Alabama,Cigarette Use (Youth),Smoking Status,Current,7.7,683,Male,Middle School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,14.5,618,Female,High School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,8,752,Female,Middle School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,20.9,656,Male,High School
2014,Alabama,Cigarette Use (Youth),Smoking Status,Current,4.9,626,Male,Middle School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,8.8,1256,Female,High School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,3.3,1479,Female,Middle School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,12.9,1174,Male,High School
2016,Alabama,Cigarette Use (Youth),Smoking Status,Current,3.4,1465,Male,Middle School
2000,Arizona,Cigarette Use (Youth),Smoking Status,Current,11.3,983,Female,Middle School
2000,Arizona,Cigarette Use (Youth),Smoking Status,Current,11.5,966,Male,Middle School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,16.5,800,Female,High School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,8.7,1024,Female,Middle School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,19,755,Male,High School
2003,Arizona,Cigarette Use (Youth),Smoking Status,Current,8.7,1041,Male,Middle School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,17.6,975,Female,High School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,7.2,1002,Female,Middle School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,19.2,920,Male,High School
2005,Arizona,Cigarette Use (Youth),Smoking Status,Current,8.8,917,Male,Middle School
2007,Arizona,Cigarette Use (Youth),Smoking Status,Current,16.1,918,Female,High School
2007,Arizona,Cigarette Use (Youth),Smoking Status,Current,8,1085,Female,Middle School
2007,Arizona,Cigarette Use (Youth),Smoking Status,Current,17.2,800,Male,High School
2007,Arizona,Cigarette Use (Youth),Smoking Status,Current,5.3,1084,Male,Middle School
2009,Arizona,Cigarette Use (Youth),Smoking Status,Current,4,1132,Female,Middle School
2009,Arizona,Cigarette Use (Youth),Smoking Status,Current,5.2,1173,Male,Middle School
2011,Arizona,Cigarette Use (Youth),Smoking Status,Current,4.2,1944,Female,Middle School
2011,Arizona,Cigarette Use (Youth),Smoking Status,Current,5,1997,Male,Middle School
2013,Arizona,Cigarette Use (Youth),Smoking Status,Current,3,819,Female,Middle School
2013,Arizona,Cigarette Use (Youth),Smoking Status,Current,3.2,756,Male,Middle School
2015,Arizona,Cigarette Use (Youth),Smoking Status,Current,3.1,671,Female,Middle School
2015,Arizona,Cigarette Use (Youth),Smoking Status,Current,3.2,700,Male,Middle School
2017,Arizona,Cigarette Use (Youth),Smoking Status,Current,1.9,659,Female,Middle School
2017,Arizona,Cigarette Use (Youth),Smoking Status,Current,2.9,679,Male,Middle School
2000,Arkansas,Cigarette Use (Youth),Smoking Status,Current,33.7,670,Female,High School
2000,Arkansas,Cigarette Use (Youth),Smoking Status,Current,15.7,737,Female,Middle School
2000,Arkansas,Cigarette Use (Youth),Smoking Status,Current,37.5,664,Male,High School
2000,Arkansas,Cigarette Use (Youth),Smoking Status,Current,15.7,767,Male,Middle School
2005,Arkansas,Cigarette Use (Youth),Smoking Status,Current,24.9,1020,Female,High School
2005,Arkansas,Cigarette Use (Youth),Smoking Status,Current,8.3,1038,Female,Middle School
2005,Arkansas,Cigarette Use (Youth),Smoking Status,Current,27.8,934,Male,High School
2005,Arkansas,Cigarette Use (Youth),Smoking Status,Current,10.1,1026,Male,Middle School
2007,Arkansas,Cigarette Use (Youth),Smoking Status,Current,17.8,987,Female,High School
2007,Arkansas,Cigarette Use (Youth),Smoking Status,Current,10.2,948,Female,Middle School
2007,Arkansas,Cigarette Use (Youth),Smoking Status,Current,23,962,Male,High School
2007,Arkansas,Cigarette Use (Youth),Smoking Status,Current,8.8,903,Male,Middle School
2010,Arkansas,Cigarette Use (Youth),Smoking Status,Current,18.7,1097,Female,High School
2010,Arkansas,Cigarette Use (Youth),Smoking Status,Current,7,1201,Female,Middle School
2010,Arkansas,Cigarette Use (Youth),Smoking Status,Current,27.8,1101,Male,High School
2010,Arkansas,Cigarette Use (Youth),Smoking Status,Current,6.9,1159,Male,Middle School
2000,California,Cigarette Use (Youth),Smoking Status,Current,20.4,1424,Female,High School
2000,California,Cigarette Use (Youth),Smoking Status,Current,6.4,1432,Female,Middle School
2000,California,Cigarette Use (Youth),Smoking Status,Current,22.7,1513,Male,High School
2000,California,Cigarette Use (Youth),Smoking Status,Current,7,1365,Male,Middle School
2003,California,Cigarette Use (Youth),Smoking Status,Current,11.9,7713,Female,High School
2003,California,Cigarette Use (Youth),Smoking Status,Current,3.4,5644,Female,Middle School
2003,California,Cigarette Use (Youth),Smoking Status,Current,14.4,6848,Male,High School
2003,California,Cigarette Use (Youth),Smoking Status,Current,4.4,4858,Male,Middle School
2000,Colorado,Cigarette Use (Youth),Smoking Status,Current,26.9,751,Female,High School
2000,Colorado,Cigarette Use (Youth),Smoking Status,Current,8.4,735,Female,Middle School
2000,Colorado,Cigarette Use (Youth),Smoking Status,Current,23.9,736,Male,High School
2000,Colorado,Cigarette Use (Youth),Smoking Status,Current,9.3,702,Male,Middle School
2000,Connecticut,Cigarette Use (Youth),Smoking Status,Current,26,1062,Female,High School
2000,Connecticut,Cigarette Use (Youth),Smoking Status,Current,9.8,1028,Female,Middle School
2000,Connecticut,Cigarette Use (Youth),Smoking Status,Current,24.9,1020,Male,High School
2000,Connecticut,Cigarette Use (Youth),Smoking Status,Current,9.7,977,Male,Middle School
2002,Connecticut,Cigarette Use (Youth),Smoking Status,Current,20.7,1602,Female,High School
2002,Connecticut,Cigarette Use (Youth),Smoking Status,Current,6.8,1315,Female,Middle School
2002,Connecticut,Cigarette Use (Youth),Smoking Status,Current,23.3,1488,Male,High School
2002,Connecticut,Cigarette Use (Youth),Smoking Status,Current,4.8,1284,Male,Middle School
2005,Connecticut,Cigarette Use (Youth),Smoking Status,Current,18.2,1155,Female,High School
2005,Connecticut,Cigarette Use (Youth),Smoking Status,Current,5.8,990,Female,Middle School
2005,Connecticut,Cigarette Use (Youth),Smoking Status,Current,15.8,1006,Male,High School
2005,Connecticut,Cigarette Use (Youth),Smoking Status,Current,6,1030,Male,Middle School
2007,Connecticut,Cigarette Use (Youth),Smoking Status,Current,15.2,958,Female,High School
2007,Connecticut,Cigarette Use (Youth),Smoking Status,Current,3,1112,Female,Middle School
2007,Connecticut,Cigarette Use (Youth),Smoking Status,Current,18.6,993,Male,High School
2007,Connecticut,Cigarette Use (Youth),Smoking Status,Current,3.7,1086,Male,Middle School
2009,Connecticut,Cigarette Use (Youth),Smoking Status,Current,14.4,1144,Female,High School
2009,Connecticut,Cigarette Use (Youth),Smoking Status,Current,3.2,1187,Female,Middle School
2009,Connecticut,Cigarette Use (Youth),Smoking Status,Current,16,1047,Male,High School
2009,Connecticut,Cigarette Use (Youth),Smoking Status,Current,3.3,1153,Male,Middle School
2011,Connecticut,Cigarette Use (Youth),Smoking Status,Current,11.8,1017,Female,High School
2011,Connecticut,Cigarette Use (Youth),Smoking Status,Current,2.7,1112,Female,Middle School
2011,Connecticut,Cigarette Use (Youth),Smoking Status,Current,16.1,1048,Male,High School
2011,Connecticut,Cigarette Use (Youth),Smoking Status,Current,3.1,1023,Male,Middle School
2013,Connecticut,Cigarette Use (Youth),Smoking Status,Current,7.3,1188,Female,High School
2013,Connecticut,Cigarette Use (Youth),Smoking Status,Current,1,1423,Female,Middle School
2013,Connecticut,Cigarette Use (Youth),Smoking Status,Current,10.4,1230,Male,High School
2013,Connecticut,Cigarette Use (Youth),Smoking Status,Current,1.8,1464,Male,Middle School
2015,Connecticut,Cigarette Use (Youth),Smoking Status,Current,5.6,1088,Female,High School
2015,Connecticut,Cigarette Use (Youth),Smoking Status,Current,1,1198,Female,Middle School
2015,Connecticut,Cigarette Use (Youth),Smoking Status,Current,5.6,1166,Male,High School
2015,Connecticut,Cigarette Use (Youth),Smoking Status,Current,0.7,1253,Male,Middle School
2017,Connecticut,Cigarette Use (Youth),Smoking Status,Current,2.7,1120,Female,High School
2017,Connecticut,Cigarette Use (Youth),Smoking Status,Current,4.2,1066,Male,High School
2000,Delaware,Cigarette Use (Youth),Smoking Status,Current,26.1,1855,Female,High School
2000,Delaware,Cigarette Use (Youth),Smoking Status,Current,15.6,2200,Female,Middle School
2000,Delaware,Cigarette Use (Youth),Smoking Status,Current,28,1569,Male,High School
2000,Delaware,Cigarette Use (Youth),Smoking Status,Current,14.8,2178,Male,Middle School
2002,Delaware,Cigarette Use (Youth),Smoking Status,Current,23.4,1226,Female,High School
2002,Delaware,Cigarette Use (Youth),Smoking Status,Current,11.6,1330,Female,Middle School
2002,Delaware,Cigarette Use (Youth),Smoking Status,Current,28,1214,Male,High School
2002,Delaware,Cigarette Use (Youth),Smoking Status,Current,9.1,1311,Male,Middle School
2004,Delaware,Cigarette Use (Youth),Smoking Status,Current,24.8,1100,Female,High School
2004,Delaware,Cigarette Use (Youth),Smoking Status,Current,9.7,1256,Female,Middle School
2004,Delaware,Cigarette Use (Youth),Smoking Status,Current,20.2,1080,Male,High School
2004,Delaware,Cigarette Use (Youth),Smoking Status,Current,9,1197,Male,Middle School
2008,Delaware,Cigarette Use (Youth),Smoking Status,Current,17.9,915,Female,High School
2008,Delaware,Cigarette Use (Youth),Smoking Status,Current,7.4,1033,Female,Middle School
2008,Delaware,Cigarette Use (Youth),Smoking Status,Current,16.6,894,Male,High School
2008,Delaware,Cigarette Use (Youth),Smoking Status,Current,6.9,1043,Male,Middle School
2010,Delaware,Cigarette Use (Youth),Smoking Status,Current,14.5,966,Female,High School
2010,Delaware,Cigarette Use (Youth),Smoking Status,Current,6.1,1072,Female,Middle School
2010,Delaware,Cigarette Use (Youth),Smoking Status,Current,15.3,867,Male,High School
2010,Delaware,Cigarette Use (Youth),Smoking Status,Current,6.7,1019,Male,Middle School
2012,Delaware,Cigarette Use (Youth),Smoking Status,Current,13.7,1125,Female,High School
2012,Delaware,Cigarette Use (Youth),Smoking Status,Current,3.9,1137,Female,Middle School
2012,Delaware,Cigarette Use (Youth),Smoking Status,Current,14.3,1057,Male,High School
2012,Delaware,Cigarette Use (Youth),Smoking Status,Current,4.3,1205,Male,Middle School
2014,Delaware,Cigarette Use (Youth),Smoking Status,Current,10.1,1033,Female,High School
2014,Delaware,Cigarette Use (Youth),Smoking Status,Current,2,1094,Female,Middle School
2014,Delaware,Cigarette Use (Youth),Smoking Status,Current,12.3,965,Male,High School
2014,Delaware,Cigarette Use (Youth),Smoking Status,Current,3.4,1161,Male,Middle School
2016,Delaware,Cigarette Use (Youth),Smoking Status,Current,4.9,988,Female,High School
2016,Delaware,Cigarette Use (Youth),Smoking Status,Current,1.2,813,Female,Middle School
2016,Delaware,Cigarette Use (Youth),Smoking Status,Current,8.7,1160,Male,High School
2016,Delaware,Cigarette Use (Youth),Smoking Status,Current,1.5,780,Male,Middle School
2001,Florida,Cigarette Use (Youth),Smoking Status,Current,19,2193,Female,High School
2001,Florida,Cigarette Use (Youth),Smoking Status,Current,9.5,2144,Female,Middle School
2001,Florida,Cigarette Use (Youth),Smoking Status,Current,19.1,1978,Male,High School
2001,Florida,Cigarette Use (Youth),Smoking Status,Current,10,2080,Male,Middle School
2002,Florida,Cigarette Use (Youth),Smoking Status,Current,18.9,4607,Female,High School
2002,Florida,Cigarette Use (Youth),Smoking Status,Current,9.7,7761,Female,Middle School
2002,Florida,Cigarette Use (Youth),Smoking Status,Current,19,4239,Male,High School
2002,Florida,Cigarette Use (Youth),Smoking Status,Current,10.5,7389,Male,Middle School
1999,Georgia,Cigarette Use (Youth),Smoking Status,Current,13.6,641,Female,Middle School
1999,Georgia,Cigarette Use (Youth),Smoking Status,Current,13.9,594,Male,Middle School
2001,Georgia,Cigarette Use (Youth),Smoking Status,Current,19.9,1423,Female,High School
2001,Georgia,Cigarette Use (Youth),Smoking Status,Current,7.1,1353,Female,Middle School
2001,Georgia,Cigarette Use (Youth),Smoking Status,Current,27.4,1446,Male,High School
2001,Georgia,Cigarette Use (Youth),Smoking Status,Current,10.5,1385,Male,Middle School
2005,Georgia,Cigarette Use (Youth),Smoking Status,Current,16.5,895,Female,High School
2005,Georgia,Cigarette Use (Youth),Smoking Status,Current,7.7,935,Female,Middle School
2005,Georgia,Cigarette Use (Youth),Smoking Status,Current,22,843,Male,High School
2005,Georgia,Cigarette Use (Youth),Smoking Status,Current,9.1,950,Male,Middle School
2009,Georgia,Cigarette Use (Youth),Smoking Status,Current,13.6,995,Female,High School
2009,Georgia,Cigarette Use (Youth),Smoking Status,Current,4.4,1024,Female,Middle School
2009,Georgia,Cigarette Use (Youth),Smoking Status,Current,17.2,905,Male,High School
2009,Georgia,Cigarette Use (Youth),Smoking Status,Current,7.8,923,Male,Middle School
2011,Georgia,Cigarette Use (Youth),Smoking Status,Current,13.4,966,Female,High School
2011,Georgia,Cigarette Use (Youth),Smoking Status,Current,4.2,1112,Female,Middle School
2011,Georgia,Cigarette Use (Youth),Smoking Status,Current,20.9,924,Male,High School
2011,Georgia,Cigarette Use (Youth),Smoking Status,Current,7.3,1049,Male,Middle School
2013,Georgia,Cigarette Use (Youth),Smoking Status,Current,9.7,866,Female,High School
2013,Georgia,Cigarette Use (Youth),Smoking Status,Current,2.7,1027,Female,Middle School
2013,Georgia,Cigarette Use (Youth),Smoking Status,Current,14.3,832,Male,High School
2013,Georgia,Cigarette Use (Youth),Smoking Status,Current,3.6,1014,Male,Middle School
2015,Georgia,Cigarette Use (Youth),Smoking Status,Current,8.2,686,Female,High School
2015,Georgia,Cigarette Use (Youth),Smoking Status,Current,13.2,667,Male,High School
2017,Georgia,Cigarette Use (Youth),Smoking Status,Current,4.8,1302,Female,High School
2017,Georgia,Cigarette Use (Youth),Smoking Status,Current,11,1263,Male,High School
2000,Hawaii,Cigarette Use (Youth),Smoking Status,Current,25.5,836,Female,High School
2000,Hawaii,Cigarette Use (Youth),Smoking Status,Current,23.4,613,Male,High School
2003,Hawaii,Cigarette Use (Youth),Smoking Status,Current,5.9,5058,Female,Middle School
2003,Hawaii,Cigarette Use (Youth),Smoking Status,Current,4.8,5084,Male,Middle School
2005,Hawaii,Cigarette Use (Youth),Smoking Status,Current,14.2,777,Female,High School
2005,Hawaii,Cigarette Use (Youth),Smoking Status,Current,5.1,856,Female,Middle School
2005,Hawaii,Cigarette Use (Youth),Smoking Status,Current,10.9,705,Male,High School
2005,Hawaii,Cigarette Use (Youth),Smoking Status,Current,4.7,759,Male,Middle School
2009,Hawaii,Cigarette Use (Youth),Smoking Status,Current,11.9,767,Female,High School
2009,Hawaii,Cigarette Use (Youth),Smoking Status,Current,5.4,851,Female,Middle School
2009,Hawaii,Cigarette Use (Youth),Smoking Status,Current,10.5,667,Male,High School
2009,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3.6,724,Male,Middle School
2011,Hawaii,Cigarette Use (Youth),Smoking Status,Current,9.6,656,Female,High School
2011,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3.8,831,Female,Middle School
2011,Hawaii,Cigarette Use (Youth),Smoking Status,Current,8,614,Male,High School
2011,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3.5,777,Male,Middle School
2013,Hawaii,Cigarette Use (Youth),Smoking Status,Current,4.9,735,Female,High School
2013,Hawaii,Cigarette Use (Youth),Smoking Status,Current,2.8,1026,Female,Middle School
2013,Hawaii,Cigarette Use (Youth),Smoking Status,Current,6.8,661,Male,High School
2013,Hawaii,Cigarette Use (Youth),Smoking Status,Current,4.7,877,Male,Middle School
2015,Hawaii,Cigarette Use (Youth),Smoking Status,Current,6.6,929,Female,High School
2015,Hawaii,Cigarette Use (Youth),Smoking Status,Current,2.8,1062,Female,Middle School
2015,Hawaii,Cigarette Use (Youth),Smoking Status,Current,8.1,878,Male,High School
2015,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3.2,1099,Male,Middle School
2017,Hawaii,Cigarette Use (Youth),Smoking Status,Current,5.9,961,Female,High School
2017,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3,941,Female,Middle School
2017,Hawaii,Cigarette Use (Youth),Smoking Status,Current,6.2,915,Male,High School
2017,Hawaii,Cigarette Use (Youth),Smoking Status,Current,3.3,1001,Male,Middle School
2001,Idaho,Cigarette Use (Youth),Smoking Status,Current,9.4,911,Female,Middle School
2001,Idaho,Cigarette Use (Youth),Smoking Status,Current,9.7,910,Male,Middle School
2003,Idaho,Cigarette Use (Youth),Smoking Status,Current,11.2,779,Female,Middle School
2003,Idaho,Cigarette Use (Youth),Smoking Status,Current,7.5,800,Male,Middle School
2002,Illinois,Cigarette Use (Youth),Smoking Status,Current,31.9,773,Female,High School
2002,Illinois,Cigarette Use (Youth),Smoking Status,Current,8.8,799,Female,Middle School
2002,Illinois,Cigarette Use (Youth),Smoking Status,Current,26.5,854,Male,High School
2002,Illinois,Cigarette Use (Youth),Smoking Status,Current,6.4,775,Male,Middle School
2005,Illinois,Cigarette Use (Youth),Smoking Status,Current,26.8,645,Female,High School
2005,Illinois,Cigarette Use (Youth),Smoking Status,Current,8.1,708,Female,Middle School
2005,Illinois,Cigarette Use (Youth),Smoking Status,Current,22.8,667,Male,High School
2005,Illinois,Cigarette Use (Youth),Smoking Status,Current,6.8,676,Male,Middle School
2006,Illinois,Cigarette Use (Youth),Smoking Status,Current,20.8,555,Female,High School
2006,Illinois,Cigarette Use (Youth),Smoking Status,Current,5.9,608,Female,Middle School
2006,Illinois,Cigarette Use (Youth),Smoking Status,Current,22.6,581,Male,High School
2006,Illinois,Cigarette Use (Youth),Smoking Status,Current,11.5,579,Male,Middle School
2010,Illinois,Cigarette Use (Youth),Smoking Status,Current,16.7,648,Female,High School
2010,Illinois,Cigarette Use (Youth),Smoking Status,Current,4.8,684,Female,Middle School
2010,Illinois,Cigarette Use (Youth),Smoking Status,Current,18.9,598,Male,High School
2010,Illinois,Cigarette Use (Youth),Smoking Status,Current,4.8,682,Male,Middle School
2013,Illinois,Cigarette Use (Youth),Smoking Status,Current,10.3,826,Female,High School
2013,Illinois,Cigarette Use (Youth),Smoking Status,Current,3,923,Female,Middle School
2013,Illinois,Cigarette Use (Youth),Smoking Status,Current,15.4,830,Male,High School
2013,Illinois,Cigarette Use (Youth),Smoking Status,Current,2.1,965,Male,Middle School
2015,Illinois,Cigarette Use (Youth),Smoking Status,Current,10,1016,Female,High School
2015,Illinois,Cigarette Use (Youth),Smoking Status,Current,2.5,1143,Female,Middle School
2015,Illinois,Cigarette Use (Youth),Smoking Status,Current,9.4,1190,Male,High School
2015,Illinois,Cigarette Use (Youth),Smoking Status,Current,1.6,1157,Male,Middle School
2000,Indiana,Cigarette Use (Youth),Smoking Status,Current,30.1,700,Female,High School
2000,Indiana,Cigarette Use (Youth),Smoking Status,Current,10.4,698,Female,Middle School
2000,Indiana,Cigarette Use (Youth),Smoking Status,Current,32.8,667,Male,High School
2000,Indiana,Cigarette Use (Youth),Smoking Status,Current,9.3,768,Male,Middle School
2004,Indiana,Cigarette Use (Youth),Smoking Status,Current,19.4,1706,Female,High School
2004,Indiana,Cigarette Use (Youth),Smoking Status,Current,10.1,931,Female,Middle School
2004,Indiana,Cigarette Use (Youth),Smoking Status,Current,22.8,1613,Male,High School
2004,Indiana,Cigarette Use (Youth),Smoking Status,Current,5.7,978,Male,Middle School
2006,Indiana,Cigarette Use (Youth),Smoking Status,Current,22.7,1591,Female,High School
2006,Indiana,Cigarette Use (Youth),Smoking Status,Current,8.3,1759,Female,Middle School
2006,Indiana,Cigarette Use (Youth),Smoking Status,Current,23.6,1655,Male,High School
2006,Indiana,Cigarette Use (Youth),Smoking Status,Current,7.1,1817,Male,Middle School
2008,Indiana,Cigarette Use (Youth),Smoking Status,Current,17.5,1739,Female,High School
2008,Indiana,Cigarette Use (Youth),Smoking Status,Current,3.7,1626,Female,Middle School
2008,Indiana,Cigarette Use (Youth),Smoking Status,Current,19,1858,Male,High School
2008,Indiana,Cigarette Use (Youth),Smoking Status,Current,4.5,1579,Male,Middle School
2010,Indiana,Cigarette Use (Youth),Smoking Status,Current,15.8,1287,Female,High School
2010,Indiana,Cigarette Use (Youth),Smoking Status,Current,3.5,1053,Female,Middle School
2010,Indiana,Cigarette Use (Youth),Smoking Status,Current,18.8,1298,Male,High School
2010,Indiana,Cigarette Use (Youth),Smoking Status,Current,5.2,1002,Male,Middle School
2013,Indiana,Cigarette Use (Youth),Smoking Status,Current,12.7,1362,Female,High School
2013,Indiana,Cigarette Use (Youth),Smoking Status,Current,3.9,1207,Female,Middle School
2013,Indiana,Cigarette Use (Youth),Smoking Status,Current,14.8,1277,Male,High School
2013,Indiana,Cigarette Use (Youth),Smoking Status,Current,3.6,1210,Male,Middle School
2016,Indiana,Cigarette Use (Youth),Smoking Status,Current,2.1,1091,Female,Middle School
2016,Indiana,Cigarette Use (Youth),Smoking Status,Current,1.4,1131,Male,Middle School
2000,Iowa,Cigarette Use (Youth),Smoking Status,Current,31.1,695,Female,High School
2000,Iowa,Cigarette Use (Youth),Smoking Status,Current,12.3,884,Female,Middle School
2000,Iowa,Cigarette Use (Youth),Smoking Status,Current,34.2,700,Male,High School
2000,Iowa,Cigarette Use (Youth),Smoking Status,Current,11.3,869,Male,Middle School
2002,Iowa,Cigarette Use (Youth),Smoking Status,Current,26.5,823,Female,High School
2002,Iowa,Cigarette Use (Youth),Smoking Status,Current,7.2,800,Female,Middle School
2002,Iowa,Cigarette Use (Youth),Smoking Status,Current,26.9,806,Male,High School
2002,Iowa,Cigarette Use (Youth),Smoking Status,Current,6.4,780,Male,Middle School
2004,Iowa,Cigarette Use (Youth),Smoking Status,Current,20.3,865,Female,High School
2004,Iowa,Cigarette Use (Youth),Smoking Status,Current,7.4,873,Female,Middle School
2004,Iowa,Cigarette Use (Youth),Smoking Status,Current,18.5,872,Male,High School
2004,Iowa,Cigarette Use (Youth),Smoking Status,Current,6.7,983,Male,Middle School
2006,Iowa,Cigarette Use (Youth),Smoking Status,Current,22.4,1113,Female,High School
2006,Iowa,Cigarette Use (Youth),Smoking Status,Current,4.4,833,Female,Middle School
2006,Iowa,Cigarette Use (Youth),Smoking Status,Current,22.6,1100,Male,High School
2006,Iowa,Cigarette Use (Youth),Smoking Status,Current,2.8,794,Male,Middle School
2008,Iowa,Cigarette Use (Youth),Smoking Status,Current,19.5,630,Female,High School
2008,Iowa,Cigarette Use (Youth),Smoking Status,Current,2.4,633,Female,Middle School
2008,Iowa,Cigarette Use (Youth),Smoking Status,Current,20.2,612,Male,High School
2008,Iowa,Cigarette Use (Youth),Smoking Status,Current,3.3,670,Male,Middle School
2009,Iowa,Cigarette Use (Youth),Smoking Status,Current,19.5,630,Female,High School
2009,Iowa,Cigarette Use (Youth),Smoking Status,Current,2.4,633,Female,Middle School
2009,Iowa,Cigarette Use (Youth),Smoking Status,Current,20.2,612,Male,High School
2009,Iowa,Cigarette Use (Youth),Smoking Status,Current,3.3,670,Male,Middle School
1999,Kansas,Cigarette Use (Youth),Smoking Status,Current,15.2,554,Female,Middle School
1999,Kansas,Cigarette Use (Youth),Smoking Status,Current,16.6,581,Male,Middle School
2000,Kansas,Cigarette Use (Youth),Smoking Status,Current,27.5,791,Female,High School
2000,Kansas,Cigarette Use (Youth),Smoking Status,Current,7.9,778,Female,Middle School
2000,Kansas,Cigarette Use (Youth),Smoking Status,Current,24.7,763,Male,High School
2000,Kansas,Cigarette Use (Youth),Smoking Status,Current,8,774,Male,Middle School
2002,Kansas,Cigarette Use (Youth),Smoking Status,Current,20.9,752,Female,High School
2002,Kansas,Cigarette Use (Youth),Smoking Status,Current,6.6,699,Female,Middle School
2002,Kansas,Cigarette Use (Youth),Smoking Status,Current,21.3,715,Male,High School
