YEAR,state,TopicDesc,MeasureDesc,Response,Percent_Yes,Sample_Size,Gender,Education
2002,Kansas,Cigarette Use (Youth),Smoking Status,Current,4.6,712,Male,Middle School
2009,Kansas,Cigarette Use (Youth),Smoking Status,Current,17.9,670,Female,High School
2009,Kansas,Cigarette Use (Youth),Smoking Status,Current,3,516,Female,Middle School
2009,Kansas,Cigarette Use (Youth),Smoking Status,Current,16.5,669,Male,High School
2009,Kansas,Cigarette Use (Youth),Smoking Status,Current,5.6,436,Male,Middle School
2013,Kansas,Cigarette Use (Youth),Smoking Status,Current,1.2,769,Female,Middle School
2013,Kansas,Cigarette Use (Youth),Smoking Status,Current,1.1,920,Male,Middle School
2000,Kentucky,Cigarette Use (Youth),Smoking Status,Current,39,592,Female,High School
2000,Kentucky,Cigarette Use (Youth),Smoking Status,Current,21.1,629,Female,Middle School
2000,Kentucky,Cigarette Use (Youth),Smoking Status,Current,35.6,658,Male,High School
2000,Kentucky,Cigarette Use (Youth),Smoking Status,Current,21.9,595,Male,Middle School
2002,Kentucky,Cigarette Use (Youth),Smoking Status,Current,35.8,766,Female,High School
2002,Kentucky,Cigarette Use (Youth),Smoking Status,Current,14.8,735,Female,Middle School
2002,Kentucky,Cigarette Use (Youth),Smoking Status,Current,32.7,717,Male,High School
2002,Kentucky,Cigarette Use (Youth),Smoking Status,Current,15.6,723,Male,Middle School
2004,Kentucky,Cigarette Use (Youth),Smoking Status,Current,29.1,1036,Female,High School
2004,Kentucky,Cigarette Use (Youth),Smoking Status,Current,26.8,1011,Male,High School
2006,Kentucky,Cigarette Use (Youth),Smoking Status,Current,24.9,1511,Female,High School
2006,Kentucky,Cigarette Use (Youth),Smoking Status,Current,11.7,1817,Female,Middle School
2006,Kentucky,Cigarette Use (Youth),Smoking Status,Current,24.2,1399,Male,High School
2006,Kentucky,Cigarette Use (Youth),Smoking Status,Current,12.3,1810,Male,Middle School
2008,Kentucky,Cigarette Use (Youth),Smoking Status,Current,26.7,1403,Female,High School
2008,Kentucky,Cigarette Use (Youth),Smoking Status,Current,9.8,2022,Female,Middle School
2008,Kentucky,Cigarette Use (Youth),Smoking Status,Current,26.7,1368,Male,High School
2008,Kentucky,Cigarette Use (Youth),Smoking Status,Current,9.2,1947,Male,Middle School
2010,Kentucky,Cigarette Use (Youth),Smoking Status,Current,25.5,1813,Female,High School
2010,Kentucky,Cigarette Use (Youth),Smoking Status,Current,8.2,2038,Female,Middle School
2010,Kentucky,Cigarette Use (Youth),Smoking Status,Current,27.6,1645,Male,High School
2010,Kentucky,Cigarette Use (Youth),Smoking Status,Current,9.6,2074,Male,Middle School
2001,Louisiana,Cigarette Use (Youth),Smoking Status,Current,15.4,1266,Female,Middle School
2001,Louisiana,Cigarette Use (Youth),Smoking Status,Current,18.1,1119,Male,Middle School
2008,Louisiana,Cigarette Use (Youth),Smoking Status,Current,16.9,684,Female,High School
2008,Louisiana,Cigarette Use (Youth),Smoking Status,Current,8.6,779,Female,Middle School
2008,Louisiana,Cigarette Use (Youth),Smoking Status,Current,20.3,588,Male,High School
2008,Louisiana,Cigarette Use (Youth),Smoking Status,Current,11.6,767,Male,Middle School
2009,Louisiana,Cigarette Use (Youth),Smoking Status,Current,21.9,536,Female,High School
2009,Louisiana,Cigarette Use (Youth),Smoking Status,Current,10.1,879,Female,Middle School
2009,Louisiana,Cigarette Use (Youth),Smoking Status,Current,16.9,487,Male,High School
2009,Louisiana,Cigarette Use (Youth),Smoking Status,Current,11.3,753,Male,Middle School
2011,Louisiana,Cigarette Use (Youth),Smoking Status,Current,20.2,556,Female,High School
2011,Louisiana,Cigarette Use (Youth),Smoking Status,Current,5.9,694,Female,Middle School
2011,Louisiana,Cigarette Use (Youth),Smoking Status,Current,26.8,391,Male,High School
2011,Louisiana,Cigarette Use (Youth),Smoking Status,Current,6.6,653,Male,Middle School
2013,Louisiana,Cigarette Use (Youth),Smoking Status,Current,12,709,Female,High School
2013,Louisiana,Cigarette Use (Youth),Smoking Status,Current,4.1,976,Female,Middle School
2013,Louisiana,Cigarette Use (Youth),Smoking Status,Current,16.7,596,Male,High School
2013,Louisiana,Cigarette Use (Youth),Smoking Status,Current,8,999,Male,Middle School
2015,Louisiana,Cigarette Use (Youth),Smoking Status,Current,6,659,Female,Middle School
2015,Louisiana,Cigarette Use (Youth),Smoking Status,Current,4.4,544,Male,Middle School
2017,Louisiana,Cigarette Use (Youth),Smoking Status,Current,12.5,589,Female,High School
2017,Louisiana,Cigarette Use (Youth),Smoking Status,Current,2.1,894,Female,Middle School
2017,Louisiana,Cigarette Use (Youth),Smoking Status,Current,14.5,462,Male,High School
2017,Louisiana,Cigarette Use (Youth),Smoking Status,Current,5.4,689,Male,Middle School
2000,Maine,Cigarette Use (Youth),Smoking Status,Current,13.9,672,Female,Middle School
2000,Maine,Cigarette Use (Youth),Smoking Status,Current,15.4,627,Male,Middle School
2001,Maine,Cigarette Use (Youth),Smoking Status,Current,8.5,6205,Female,Middle School
2001,Maine,Cigarette Use (Youth),Smoking Status,Current,8.8,6226,Male,Middle School
2000,Maryland,Cigarette Use (Youth),Smoking Status,Current,23.8,16548,Female,High School
2000,Maryland,Cigarette Use (Youth),Smoking Status,Current,7.3,10703,Female,Middle School
2000,Maryland,Cigarette Use (Youth),Smoking Status,Current,23.3,15382,Male,High School
2000,Maryland,Cigarette Use (Youth),Smoking Status,Current,7.3,10671,Male,Middle School
2002,Maryland,Cigarette Use (Youth),Smoking Status,Current,18.9,19197,Female,High School
2002,Maryland,Cigarette Use (Youth),Smoking Status,Current,5.1,13152,Female,Middle School
2002,Maryland,Cigarette Use (Youth),Smoking Status,Current,19.3,17349,Male,High School
2002,Maryland,Cigarette Use (Youth),Smoking Status,Current,5.4,13001,Male,Middle School
2002,Massachusetts,Cigarette Use (Youth),Smoking Status,Current,19.4,794,Female,High School
2002,Massachusetts,Cigarette Use (Youth),Smoking Status,Current,7,946,Female,Middle School
2002,Massachusetts,Cigarette Use (Youth),Smoking Status,Current,21.7,813,Male,High School
2002,Massachusetts,Cigarette Use (Youth),Smoking Status,Current,7.1,957,Male,Middle School
2001,Michigan,Cigarette Use (Youth),Smoking Status,Current,29.5,1593,Female,High School
2001,Michigan,Cigarette Use (Youth),Smoking Status,Current,8.7,871,Female,Middle School
2001,Michigan,Cigarette Use (Youth),Smoking Status,Current,25.8,1632,Male,High School
2001,Michigan,Cigarette Use (Youth),Smoking Status,Current,9.8,883,Male,Middle School
2003,Michigan,Cigarette Use (Youth),Smoking Status,Current,29.9,1799,Female,High School
2003,Michigan,Cigarette Use (Youth),Smoking Status,Current,7.6,1863,Female,Middle School
2003,Michigan,Cigarette Use (Youth),Smoking Status,Current,26.3,1635,Male,High School
2003,Michigan,Cigarette Use (Youth),Smoking Status,Current,6.9,2023,Male,Middle School
2007,Michigan,Cigarette Use (Youth),Smoking Status,Current,16.6,1330,Female,High School
2007,Michigan,Cigarette Use (Youth),Smoking Status,Current,22.7,1261,Male,High School
2011,Michigan,Cigarette Use (Youth),Smoking Status,Current,14.4,2031,Female,High School
2011,Michigan,Cigarette Use (Youth),Smoking Status,Current,18.4,1992,Male,High School
2000,Minnesota,Cigarette Use (Youth),Smoking Status,Current,32.6,3800,Female,High School
2000,Minnesota,Cigarette Use (Youth),Smoking Status,Current,9.5,2294,Female,Middle School
2000,Minnesota,Cigarette Use (Youth),Smoking Status,Current,32,3550,Male,High School
2000,Minnesota,Cigarette Use (Youth),Smoking Status,Current,8.7,2295,Male,Middle School
2002,Minnesota,Cigarette Use (Youth),Smoking Status,Current,8,2305,Female,Middle School
2002,Minnesota,Cigarette Use (Youth),Smoking Status,Current,6.4,2295,Male,Middle School
2008,Minnesota,Cigarette Use (Youth),Smoking Status,Current,3.5,1163,Female,Middle School
2008,Minnesota,Cigarette Use (Youth),Smoking Status,Current,3.2,1128,Male,Middle School
2014,Minnesota,Cigarette Use (Youth),Smoking Status,Current,10.4,1095,Female,High School
2014,Minnesota,Cigarette Use (Youth),Smoking Status,Current,2.3,937,Female,Middle School
2014,Minnesota,Cigarette Use (Youth),Smoking Status,Current,10.8,1130,Male,High School
2014,Minnesota,Cigarette Use (Youth),Smoking Status,Current,1.1,1006,Male,Middle School
2017,Minnesota,Cigarette Use (Youth),Smoking Status,Current,8.6,1085,Female,High School
2017,Minnesota,Cigarette Use (Youth),Smoking Status,Current,1.8,924,Female,Middle School
2017,Minnesota,Cigarette Use (Youth),Smoking Status,Current,10.1,1098,Male,High School
2017,Minnesota,Cigarette Use (Youth),Smoking Status,Current,1.8,898,Male,Middle School
1999,Mississippi,Cigarette Use (Youth),Smoking Status,Current,30.7,818,Female,High School
1999,Mississippi,Cigarette Use (Youth),Smoking Status,Current,19.4,986,Female,Middle School
1999,Mississippi,Cigarette Use (Youth),Smoking Status,Current,34.4,710,Male,High School
1999,Mississippi,Cigarette Use (Youth),Smoking Status,Current,26.1,890,Male,Middle School
2000,Mississippi,Cigarette Use (Youth),Smoking Status,Current,26.2,855,Female,High School
2000,Mississippi,Cigarette Use (Youth),Smoking Status,Current,16.9,938,Female,Middle School
2000,Mississippi,Cigarette Use (Youth),Smoking Status,Current,32.3,754,Male,High School
2000,Mississippi,Cigarette Use (Youth),Smoking Status,Current,19.2,802,Male,Middle School
2002,Mississippi,Cigarette Use (Youth),Smoking Status,Current,18.8,1189,Female,High School
2002,Mississippi,Cigarette Use (Youth),Smoking Status,Current,12.3,1358,Female,Middle School
2002,Mississippi,Cigarette Use (Youth),Smoking Status,Current,27.6,1060,Male,High School
2002,Mississippi,Cigarette Use (Youth),Smoking Status,Current,11.7,1334,Male,Middle School
2003,Mississippi,Cigarette Use (Youth),Smoking Status,Current,20.6,5432,Female,High School
2003,Mississippi,Cigarette Use (Youth),Smoking Status,Current,9.8,5969,Female,Middle School
2003,Mississippi,Cigarette Use (Youth),Smoking Status,Current,26,4791,Male,High School
2003,Mississippi,Cigarette Use (Youth),Smoking Status,Current,12,5573,Male,Middle School
2004,Mississippi,Cigarette Use (Youth),Smoking Status,Current,19.7,1302,Female,High School
2004,Mississippi,Cigarette Use (Youth),Smoking Status,Current,11,1471,Female,Middle School
2004,Mississippi,Cigarette Use (Youth),Smoking Status,Current,24.3,1066,Male,High School
2004,Mississippi,Cigarette Use (Youth),Smoking Status,Current,12.8,1355,Male,Middle School
2006,Mississippi,Cigarette Use (Youth),Smoking Status,Current,16.9,737,Female,High School
2006,Mississippi,Cigarette Use (Youth),Smoking Status,Current,7.8,785,Female,Middle School
2006,Mississippi,Cigarette Use (Youth),Smoking Status,Current,20.1,577,Male,High School
2006,Mississippi,Cigarette Use (Youth),Smoking Status,Current,9,703,Male,Middle School
2008,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.9,915,Female,Middle School
2008,Mississippi,Cigarette Use (Youth),Smoking Status,Current,11,922,Male,Middle School
2009,Mississippi,Cigarette Use (Youth),Smoking Status,Current,15.6,862,Female,High School
2009,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.2,790,Female,Middle School
2009,Mississippi,Cigarette Use (Youth),Smoking Status,Current,22.2,794,Male,High School
2009,Mississippi,Cigarette Use (Youth),Smoking Status,Current,8,804,Male,Middle School
2010,Mississippi,Cigarette Use (Youth),Smoking Status,Current,17.8,918,Female,High School
2010,Mississippi,Cigarette Use (Youth),Smoking Status,Current,4.4,773,Female,Middle School
2010,Mississippi,Cigarette Use (Youth),Smoking Status,Current,21.5,800,Male,High School
2010,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.8,813,Male,Middle School
2012,Mississippi,Cigarette Use (Youth),Smoking Status,Current,15.8,806,Female,High School
2012,Mississippi,Cigarette Use (Youth),Smoking Status,Current,5,867,Female,Middle School
2012,Mississippi,Cigarette Use (Youth),Smoking Status,Current,20.3,785,Male,High School
2012,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.6,799,Male,Middle School
2013,Mississippi,Cigarette Use (Youth),Smoking Status,Current,11.4,835,Female,High School
2013,Mississippi,Cigarette Use (Youth),Smoking Status,Current,3.4,893,Female,Middle School
2013,Mississippi,Cigarette Use (Youth),Smoking Status,Current,15.2,691,Male,High School
2013,Mississippi,Cigarette Use (Youth),Smoking Status,Current,4.6,1022,Male,Middle School
2014,Mississippi,Cigarette Use (Youth),Smoking Status,Current,9.6,820,Female,High School
2014,Mississippi,Cigarette Use (Youth),Smoking Status,Current,3.2,719,Female,Middle School
2014,Mississippi,Cigarette Use (Youth),Smoking Status,Current,14.9,769,Male,High School
2014,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.2,673,Male,Middle School
2015,Mississippi,Cigarette Use (Youth),Smoking Status,Current,9.6,820,Female,High School
2015,Mississippi,Cigarette Use (Youth),Smoking Status,Current,3.2,719,Female,Middle School
2015,Mississippi,Cigarette Use (Youth),Smoking Status,Current,14.9,769,Male,High School
2015,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.2,673,Male,Middle School
2016,Mississippi,Cigarette Use (Youth),Smoking Status,Current,5.9,777,Female,High School
2016,Mississippi,Cigarette Use (Youth),Smoking Status,Current,2.5,894,Female,Middle School
2016,Mississippi,Cigarette Use (Youth),Smoking Status,Current,14.1,781,Male,High School
2016,Mississippi,Cigarette Use (Youth),Smoking Status,Current,3.5,921,Male,Middle School
2017,Mississippi,Cigarette Use (Youth),Smoking Status,Current,6.2,888,Female,High School
2017,Mississippi,Cigarette Use (Youth),Smoking Status,Current,1.1,780,Female,Middle School
2017,Mississippi,Cigarette Use (Youth),Smoking Status,Current,8.2,906,Male,High School
2017,Mississippi,Cigarette Use (Youth),Smoking Status,Current,1.8,876,Male,Middle School
1999,Missouri,Cigarette Use (Youth),Smoking Status,Current,16.3,718,Female,Middle School
1999,Missouri,Cigarette Use (Youth),Smoking Status,Current,13.7,763,Male,Middle School
2003,Missouri,Cigarette Use (Youth),Smoking Status,Current,24.1,708,Female,High School
2003,Missouri,Cigarette Use (Youth),Smoking Status,Current,8.3,730,Female,Middle School
2003,Missouri,Cigarette Use (Youth),Smoking Status,Current,24.4,650,Male,High School
2003,Missouri,Cigarette Use (Youth),Smoking Status,Current,9.2,697,Male,Middle School
2005,Missouri,Cigarette Use (Youth),Smoking Status,Current,23,704,Female,High School
2005,Missouri,Cigarette Use (Youth),Smoking Status,Current,8.9,827,Female,Middle School
2005,Missouri,Cigarette Use (Youth),Smoking Status,Current,24.3,728,Male,High School
2005,Missouri,Cigarette Use (Youth),Smoking Status,Current,7.7,813,Male,Middle School
2007,Missouri,Cigarette Use (Youth),Smoking Status,Current,20.4,658,Female,High School
2007,Missouri,Cigarette Use (Youth),Smoking Status,Current,7.4,666,Female,Middle School
2007,Missouri,Cigarette Use (Youth),Smoking Status,Current,22.2,626,Male,High School
2007,Missouri,Cigarette Use (Youth),Smoking Status,Current,6.3,633,Male,Middle School
2009,Missouri,Cigarette Use (Youth),Smoking Status,Current,19.5,738,Female,High School
2009,Missouri,Cigarette Use (Youth),Smoking Status,Current,5.5,780,Female,Middle School
2009,Missouri,Cigarette Use (Youth),Smoking Status,Current,19.4,748,Male,High School
2009,Missouri,Cigarette Use (Youth),Smoking Status,Current,5.7,816,Male,Middle School
2011,Missouri,Cigarette Use (Youth),Smoking Status,Current,16.8,692,Female,High School
2011,Missouri,Cigarette Use (Youth),Smoking Status,Current,6.5,889,Female,Middle School
2011,Missouri,Cigarette Use (Youth),Smoking Status,Current,19.7,821,Male,High School
2011,Missouri,Cigarette Use (Youth),Smoking Status,Current,4.3,957,Male,Middle School
2013,Missouri,Cigarette Use (Youth),Smoking Status,Current,3.5,858,Female,Middle School
2013,Missouri,Cigarette Use (Youth),Smoking Status,Current,4.4,936,Male,Middle School
2015,Missouri,Cigarette Use (Youth),Smoking Status,Current,2.1,846,Female,Middle School
2015,Missouri,Cigarette Use (Youth),Smoking Status,Current,2.7,842,Male,Middle School
2017,Missouri,Cigarette Use (Youth),Smoking Status,Current,3.7,914,Female,Middle School
2017,Missouri,Cigarette Use (Youth),Smoking Status,Current,3.3,874,Male,Middle School
1999,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9.8,1602,Female,Middle School
1999,Nebraska,Cigarette Use (Youth),Smoking Status,Current,10.2,1647,Male,Middle School
2000,Nebraska,Cigarette Use (Youth),Smoking Status,Current,30.8,1640,Female,High School
2000,Nebraska,Cigarette Use (Youth),Smoking Status,Current,27.1,1531,Male,High School
2002,Nebraska,Cigarette Use (Youth),Smoking Status,Current,28.7,1380,Female,High School
2002,Nebraska,Cigarette Use (Youth),Smoking Status,Current,7.6,1410,Female,Middle School
2002,Nebraska,Cigarette Use (Youth),Smoking Status,Current,27.8,1216,Male,High School
2002,Nebraska,Cigarette Use (Youth),Smoking Status,Current,6.5,1285,Male,Middle School
2006,Nebraska,Cigarette Use (Youth),Smoking Status,Current,20.9,1427,Female,High School
2006,Nebraska,Cigarette Use (Youth),Smoking Status,Current,5,1135,Female,Middle School
2006,Nebraska,Cigarette Use (Youth),Smoking Status,Current,18.2,1370,Male,High School
2006,Nebraska,Cigarette Use (Youth),Smoking Status,Current,5.6,1035,Male,Middle School
2012,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9.5,1190,Female,High School
2012,Nebraska,Cigarette Use (Youth),Smoking Status,Current,13.9,1214,Male,High School
2013,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9.5,1190,Female,High School
2013,Nebraska,Cigarette Use (Youth),Smoking Status,Current,13.9,1214,Male,High School
2014,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9,1176,Female,High School
2014,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9.7,1130,Male,High School
2015,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9,1176,Female,High School
2015,Nebraska,Cigarette Use (Youth),Smoking Status,Current,9.7,1130,Male,High School
2017,Nebraska,Cigarette Use (Youth),Smoking Status,Current,6.2,1127,Female,High School
2017,Nebraska,Cigarette Use (Youth),Smoking Status,Current,8.1,1123,Male,High School
2000,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,12.8,684,Female,Middle School
2000,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,11.1,785,Male,Middle School
2001,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,24.4,693,Female,High School
2001,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,4.9,725,Female,Middle School
2001,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,26.2,695,Male,High School
2001,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,5.4,779,Male,Middle School
2004,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,18.7,715,Female,High School
2004,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,4.2,763,Female,Middle School
2004,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,19.3,683,Male,High School
2004,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,3.3,835,Male,Middle School
2007,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,13.4,807,Female,High School
2007,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,19.7,762,Male,High School
2009,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,15.8,767,Female,High School
2009,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,16.5,694,Male,High School
2011,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,14.5,710,Female,High School
2011,New Hampshire,Cigarette Use (Youth),Smoking Status,Current,19.1,676,Male,High School
1999,New Jersey,Cigarette Use (Youth),Smoking Status,Current,28.4,3363,Female,High School
1999,New Jersey,Cigarette Use (Youth),Smoking Status,Current,11,4153,Female,Middle School
1999,New Jersey,Cigarette Use (Youth),Smoking Status,Current,26.4,3373,Male,High School
1999,New Jersey,Cigarette Use (Youth),Smoking Status,Current,9.9,4199,Male,Middle School
2001,New Jersey,Cigarette Use (Youth),Smoking Status,Current,25,1962,Female,High School
2001,New Jersey,Cigarette Use (Youth),Smoking Status,Current,7,2635,Female,Middle School
2001,New Jersey,Cigarette Use (Youth),Smoking Status,Current,24,1987,Male,High School
2001,New Jersey,Cigarette Use (Youth),Smoking Status,Current,4.9,2529,Male,Middle School
2004,New Jersey,Cigarette Use (Youth),Smoking Status,Current,18.8,1179,Female,High School
2004,New Jersey,Cigarette Use (Youth),Smoking Status,Current,4.1,1071,Female,Middle School
2004,New Jersey,Cigarette Use (Youth),Smoking Status,Current,15.9,1100,Male,High School
2004,New Jersey,Cigarette Use (Youth),Smoking Status,Current,3.8,1018,Male,Middle School
2006,New Jersey,Cigarette Use (Youth),Smoking Status,Current,15.4,2097,Female,High School
2006,New Jersey,Cigarette Use (Youth),Smoking Status,Current,2.9,2088,Female,Middle School
2006,New Jersey,Cigarette Use (Youth),Smoking Status,Current,15.9,1922,Male,High School
2006,New Jersey,Cigarette Use (Youth),Smoking Status,Current,3.5,1993,Male,Middle School
2008,New Jersey,Cigarette Use (Youth),Smoking Status,Current,14.3,1511,Female,High School
2008,New Jersey,Cigarette Use (Youth),Smoking Status,Current,2.5,1552,Female,Middle School
2008,New Jersey,Cigarette Use (Youth),Smoking Status,Current,14.5,1456,Male,High School
2008,New Jersey,Cigarette Use (Youth),Smoking Status,Current,3.1,1456,Male,Middle School
2010,New Jersey,Cigarette Use (Youth),Smoking Status,Current,14.7,1299,Female,High School
2010,New Jersey,Cigarette Use (Youth),Smoking Status,Current,13.8,1233,Male,High School
2012,New Jersey,Cigarette Use (Youth),Smoking Status,Current,8.2,933,Female,High School
2012,New Jersey,Cigarette Use (Youth),Smoking Status,Current,11.1,874,Male,High School
2013,New Jersey,Cigarette Use (Youth),Smoking Status,Current,8.2,933,Female,High School
2013,New Jersey,Cigarette Use (Youth),Smoking Status,Current,10.3,874,Male,High School
2014,New Jersey,Cigarette Use (Youth),Smoking Status,Current,7.4,1891,Female,High School
2014,New Jersey,Cigarette Use (Youth),Smoking Status,Current,1.1,1082,Female,Middle School
2014,New Jersey,Cigarette Use (Youth),Smoking Status,Current,9,1895,Male,High School
2014,New Jersey,Cigarette Use (Youth),Smoking Status,Current,1.3,975,Male,Middle School
2015,New Jersey,Cigarette Use (Youth),Smoking Status,Current,7.4,1891,Female,High School
2015,New Jersey,Cigarette Use (Youth),Smoking Status,Current,1.1,1082,Female,Middle School
2015,New Jersey,Cigarette Use (Youth),Smoking Status,Current,9,1895,Male,High School
2015,New Jersey,Cigarette Use (Youth),Smoking Status,Current,1.3,975,Male,Middle School
2017,New Jersey,Cigarette Use (Youth),Smoking Status,Current,3.4,1845,Female,High School
2017,New Jersey,Cigarette Use (Youth),Smoking Status,Current,5.8,1634,Male,High School
2004,New Mexico,Cigarette Use (Youth),Smoking Status,Current,10.9,851,Female,Middle School
2004,New Mexico,Cigarette Use (Youth),Smoking Status,Current,11.4,800,Male,Middle School
2000,New York,Cigarette Use (Youth),Smoking Status,Current,29.2,875,Female,High School
2000,New York,Cigarette Use (Youth),Smoking Status,Current,8.8,984,Female,Middle School
2000,New York,Cigarette Use (Youth),Smoking Status,Current,24.8,1157,Male,High School
2000,New York,Cigarette Use (Youth),Smoking Status,Current,9.8,994,Male,Middle School
2002,New York,Cigarette Use (Youth),Smoking Status,Current,21.8,1879,Female,High School
2002,New York,Cigarette Use (Youth),Smoking Status,Current,6.3,2183,Female,Middle School
2002,New York,Cigarette Use (Youth),Smoking Status,Current,21.6,1696,Male,High School
2002,New York,Cigarette Use (Youth),Smoking Status,Current,7.9,2163,Male,Middle School
1999,North Carolina,Cigarette Use (Youth),Smoking Status,Current,29.7,3174,Female,High School
1999,North Carolina,Cigarette Use (Youth),Smoking Status,Current,14,2935,Female,Middle School
1999,North Carolina,Cigarette Use (Youth),Smoking Status,Current,33.4,2956,Male,High School
1999,North Carolina,Cigarette Use (Youth),Smoking Status,Current,16,2715,Male,Middle School
2002,North Carolina,Cigarette Use (Youth),Smoking Status,Current,25.7,2529,Female,High School
2002,North Carolina,Cigarette Use (Youth),Smoking Status,Current,11.8,2730,Female,Middle School
2002,North Carolina,Cigarette Use (Youth),Smoking Status,Current,29.8,2453,Male,High School
2002,North Carolina,Cigarette Use (Youth),Smoking Status,Current,10.5,2700,Male,Middle School
2004,North Carolina,Cigarette Use (Youth),Smoking Status,Current,25.7,1578,Female,High School
2004,North Carolina,Cigarette Use (Youth),Smoking Status,Current,8.9,1470,Female,Middle School
2004,North Carolina,Cigarette Use (Youth),Smoking Status,Current,28.7,1589,Male,High School
2004,North Carolina,Cigarette Use (Youth),Smoking Status,Current,9.8,1509,Male,Middle School
2005,North Carolina,Cigarette Use (Youth),Smoking Status,Current,19.8,1548,Female,High School
2005,North Carolina,Cigarette Use (Youth),Smoking Status,Current,4.4,1574,Female,Middle School
2005,North Carolina,Cigarette Use (Youth),Smoking Status,Current,20.7,1461,Male,High School
2005,North Carolina,Cigarette Use (Youth),Smoking Status,Current,7.1,1588,Male,Middle School
2009,North Carolina,Cigarette Use (Youth),Smoking Status,Current,13.7,1665,Female,High School
2009,North Carolina,Cigarette Use (Youth),Smoking Status,Current,4.1,1909,Female,Middle School
2009,North Carolina,Cigarette Use (Youth),Smoking Status,Current,19.2,1531,Male,High School
2009,North Carolina,Cigarette Use (Youth),Smoking Status,Current,4.3,1801,Male,Middle School
2011,North Carolina,Cigarette Use (Youth),Smoking Status,Current,12.5,2525,Female,High School
2011,North Carolina,Cigarette Use (Youth),Smoking Status,Current,3.9,2699,Female,Middle School
2011,North Carolina,Cigarette Use (Youth),Smoking Status,Current,18.4,2139,Male,High School
2011,North Carolina,Cigarette Use (Youth),Smoking Status,Current,4.4,2546,Male,Middle School
2013,North Carolina,Cigarette Use (Youth),Smoking Status,Current,11.1,2149,Female,High School
2013,North Carolina,Cigarette Use (Youth),Smoking Status,Current,2.6,1943,Female,Middle School
2013,North Carolina,Cigarette Use (Youth),Smoking Status,Current,15.7,1822,Male,High School
2013,North Carolina,Cigarette Use (Youth),Smoking Status,Current,2.4,1917,Male,Middle School
